,Wavelength,Throughput
0,200,1.88e-07
1,201,3.3e-08
2,202,4.86e-08
3,203,2.33e-07
4,204,1.75e-07
5,205,1.23e-07
6,206,1.88e-07
7,207,1.65e-07
8,208,2.21e-07
9,209,8.9e-08
10,210,2.04e-07
11,211,1.48e-07
12,212,1.51e-07
13,213,1.9e-07
14,214,1.25e-07
15,215,1.86e-07
16,216,9.05e-08
17,217,1.71e-07
18,218,1.81e-07
19,219,1.8e-07
20,220,1.66e-07
21,221,1.92e-07
22,222,1.03e-07
23,223,1.5e-07
24,224,1.32e-07
25,225,1.77e-07
26,226,1.75e-07
27,227,1.61e-07
28,228,1.69e-07
29,229,1.48e-07
30,230,1.8e-07
31,231,2.32e-07
32,232,1.72e-07
33,233,1.64e-07
34,234,1.65e-07
35,235,1.95e-07
36,236,1.79e-07
37,237,1.92e-07
38,238,1.77e-07
39,239,1.77e-07
40,240,1.41e-07
41,241,1.67e-07
42,242,1.65e-07
43,243,1.77e-07
44,244,1.7e-07
45,245,1.69e-07
46,246,2.33e-07
47,247,1.27e-07
48,248,1.67e-07
49,249,1.43e-07
50,250,1.85e-07
51,251,1.99e-07
52,252,1.71e-07
53,253,1.68e-07
54,254,1.67e-07
55,255,1.44e-07
56,256,2.03e-07
57,257,8.59e-08
58,258,2.21e-07
59,259,1.24e-07
60,260,1.48e-07
61,261,1.61e-07
62,262,7.75e-08
63,263,1.72e-07
64,264,1.81e-07
65,265,1.5e-07
66,266,1.73e-07
67,267,9.33e-08
68,268,1.59e-07
69,269,1.46e-07
70,270,1.7e-07
71,271,1.92e-07
72,272,1.32e-07
73,273,1.96e-07
74,274,1.53e-07
75,275,1.25e-07
76,276,1.57e-07
77,277,1.47e-07
78,278,1.26e-07
79,279,1.6e-07
80,280,1.56e-07
81,281,6.86e-08
82,282,1.1e-07
83,283,2.05e-07
84,284,1.31e-07
85,285,1.16e-07
86,286,7.85e-08
87,287,1.05e-07
88,288,1.55e-07
89,289,1.32e-07
90,290,1.18e-07
91,291,1.79e-07
92,292,8.8e-08
93,293,8.74e-08
94,294,1.14e-07
95,295,9.15e-08
96,296,1.22e-07
97,297,1.92e-07
98,298,1.15e-07
99,299,1.33e-07
100,300,1.96e-07
101,301,1.06e-07
102,302,2.03e-07
103,303,1.91e-07
104,304,1.51e-07
105,305,1.49e-07
106,306,1.16e-07
107,307,7.49e-08
108,308,1.17e-07
109,309,9.71e-08
110,310,1.4e-07
111,311,1.8e-07
112,312,1.84e-07
113,313,2.35e-07
114,314,9.06e-08
115,315,5.02e-08
116,316,1.12e-07
117,317,1.37e-07
118,318,1.51e-07
119,319,1.77e-07
120,320,8.08e-08
121,321,2.31e-08
122,322,1.26e-07
123,323,2.64e-07
124,324,1.39e-07
125,325,1.18e-07
126,326,2e-07
127,327,1.97e-07
128,328,1.24e-07
129,329,1.45e-07
130,330,6.03e-08
131,331,1.59e-07
132,332,2.16e-07
133,333,2.43e-07
134,334,1.66e-07
135,335,1.19e-07
136,336,4.33e-08
137,337,2.97e-07
138,338,1.28e-08
139,339,1.5e-07
140,340,4.19e-07
141,341,3.92e-07
142,342,3.51e-07
143,343,3.62e-07
144,344,3.6e-07
145,345,3.71e-07
146,346,3.28e-07
147,347,3.16e-07
148,348,3.53e-07
149,349,3.21e-07
150,350,3e-07
151,351,3.36e-07
152,352,2.74e-07
153,353,2.82e-07
154,354,2.93e-07
155,355,2.61e-07
156,356,2.89e-07
157,357,2.27e-07
158,358,2.95e-07
159,359,2.22e-07
160,360,2.61e-07
161,361,2.79e-07
162,362,2.81e-07
163,363,2.48e-07
164,364,2.31e-07
165,365,2.67e-07
166,366,2.42e-07
167,367,2.63e-07
168,368,2.75e-07
169,369,2.51e-07
170,370,2.76e-07
171,371,2.46e-07
172,372,2.62e-07
173,373,2.67e-07
174,374,2.65e-07
175,375,2.41e-07
176,376,2.26e-07
177,377,2.39e-07
178,378,1.93e-07
179,379,2.38e-07
180,380,2.25e-07
181,381,2.67e-07
182,382,4.57e-07
183,383,6.37e-07
184,384,5.27e-07
185,385,3.22e-07
186,386,2.16e-07
187,387,2.44e-07
188,388,2.27e-07
189,389,2.01e-07
190,390,2.17e-07
191,391,2.14e-07
192,392,2.13e-07
193,393,2.32e-07
194,394,1.99e-07
195,395,2.11e-07
196,396,2.01e-07
197,397,2.11e-07
198,398,1.96e-07
199,399,2.11e-07
200,400,2.26e-07
201,401,1.91e-07
202,402,1.93e-07
203,403,2.44e-07
204,404,2.41e-07
205,405,2.51e-07
206,406,2.82e-07
207,407,2.48e-07
208,408,2.11e-07
209,409,1.94e-07
210,410,1.86e-07
211,411,2.02e-07
212,412,2.35e-07
213,413,2.9e-07
214,414,3.93e-07
215,415,3.74e-07
216,416,3.23e-07
217,417,3.77e-07
218,418,4.6e-07
219,419,5.13e-07
220,420,7.14e-07
221,421,1.56151e-06
222,422,2.42208e-06
223,423,1.88633e-06
224,424,9.73e-07
225,425,5.26e-07
226,426,4.29e-07
227,427,4.8e-07
228,428,7.15e-07
229,429,2.6498e-06
230,430,8.29113e-06
231,431,1.20434e-05
232,432,7.62819e-06
233,433,2.56717e-06
234,434,2.22586e-06
235,435,4.87661e-06
236,436,7.04256e-06
237,437,4.526e-06
238,438,1.367e-06
239,439,4.99e-07
240,440,3.32e-07
241,441,3.21e-07
242,442,5.09e-07
243,443,1.19966e-06
244,444,1.86535e-06
245,445,1.35338e-06
246,446,4.91e-07
247,447,2.08e-07
248,448,2.12e-07
249,449,1.93e-07
250,450,1.73e-07
251,451,1.54e-07
252,452,1.43e-07
253,453,1.66e-07
254,454,1.33e-07
255,455,1.85e-07
256,456,1.65e-07
257,457,1.49e-07
258,458,1.64e-07
259,459,1.61e-07
260,460,1.4e-07
261,461,1.46e-07
262,462,1.75e-07
263,463,1.5e-07
264,464,1.65e-07
265,465,1.81e-07
266,466,1.82e-07
267,467,1.7e-07
268,468,1.76e-07
269,469,2.7e-07
270,470,2.73e-07
271,471,3.81e-07
272,472,5.64e-07
273,473,8.66e-07
274,474,1.57582e-06
275,475,3.07528e-06
276,476,6.6228e-06
277,477,1.54779e-05
278,478,3.93927e-05
279,479,0.000113455
280,480,0.000373691
281,481,0.0014188
282,482,0.00608193
283,483,0.0210046
284,484,0.0464248
285,485,0.0706529
286,486,0.0861074
287,487,0.0997864
288,488,0.117449
289,489,0.140686
290,490,0.172709
291,491,0.218329
292,492,0.28004
293,493,0.355195
294,494,0.430721
295,495,0.493275
296,496,0.539024
297,497,0.573352
298,498,0.606212
299,499,0.644504
300,500,0.688055
301,501,0.736411
302,502,0.782963
303,503,0.821293
304,504,0.848152
305,505,0.863667
306,506,0.871876
307,507,0.878171
308,508,0.882969
309,509,0.888295
310,510,0.892984
311,511,0.897797
312,512,0.904569
313,513,0.913579
314,514,0.923768
315,515,0.93343
316,516,0.939823
317,517,0.942044
318,518,0.943115
319,519,0.94473
320,520,0.950623
321,521,0.956023
322,522,0.960298
323,523,0.960929
324,524,0.960517
325,525,0.95634
326,526,0.952672
327,527,0.951014
328,528,0.94968
329,529,0.948637
330,530,0.946126
331,531,0.943072
332,532,0.941274
333,533,0.94026
334,534,0.939567
335,535,0.93803
336,536,0.933288
337,537,0.927077
338,538,0.920334
339,539,0.913693
340,540,0.910564
341,541,0.908119
342,542,0.90678
343,543,0.90622
344,544,0.905286
345,545,0.904901
346,546,0.904092
347,547,0.904032
348,548,0.903101
349,549,0.902583
350,550,0.900713
351,551,0.897013
352,552,0.891504
353,553,0.887474
354,554,0.884002
355,555,0.881453
356,556,0.87979
357,557,0.877788
358,558,0.873391
359,559,0.868547
360,560,0.861291
361,561,0.853911
362,562,0.845559
363,563,0.837021
364,564,0.826592
365,565,0.815382
366,566,0.803059
367,567,0.789379
368,568,0.776816
369,569,0.765687
370,570,0.754956
371,571,0.74898
372,572,0.744197
