,Wavelength,Throughput
0,200,5.64922e-07
1,201,6.03859e-07
2,202,4.09472e-07
3,203,3.13485e-07
4,204,2.6981e-07
5,205,5.27357e-07
6,206,4.11031e-07
7,207,4.548e-07
8,208,4.56976e-07
9,209,4.4859e-07
10,210,4.06671e-07
11,211,3.30822e-07
12,212,3.54647e-07
13,213,3.66838e-07
14,214,4.59533e-07
15,215,3.79336e-07
16,216,4.10947e-07
17,217,4.77653e-07
18,218,3.72679e-07
19,219,4.02752e-07
20,220,4.41045e-07
21,221,3.60565e-07
22,222,3.35519e-07
23,223,4.05133e-07
24,224,3.86847e-07
25,225,4.38859e-07
26,226,4.6233e-07
27,227,4.4553e-07
28,228,3.48442e-07
29,229,4.9674e-07
30,230,4.69781e-07
31,231,4.54198e-07
32,232,4.38596e-07
33,233,4.11757e-07
34,234,4.37605e-07
35,235,4.47095e-07
36,236,4.83208e-07
37,237,4.70141e-07
38,238,4.81115e-07
39,239,4.9739e-07
40,240,4.83207e-07
41,241,4.445e-07
42,242,5.1451e-07
43,243,5.0912e-07
44,244,4.26315e-07
45,245,4.77809e-07
46,246,4.93371e-07
47,247,4.70403e-07
48,248,4.61173e-07
49,249,5.13831e-07
50,250,4.7886e-07
51,251,4.58203e-07
52,252,4.60303e-07
53,253,4.71211e-07
54,254,4.78121e-07
55,255,4.61658e-07
56,256,4.52337e-07
57,257,4.26742e-07
58,258,3.56434e-07
59,259,3.93464e-07
60,260,3.67476e-07
61,261,3.89235e-07
62,262,3.87751e-07
63,263,4.2142e-07
64,264,4.08385e-07
65,265,3.69469e-07
66,266,3.80274e-07
67,267,3.75004e-07
68,268,3.68514e-07
69,269,4.09961e-07
70,270,3.13543e-07
71,271,3.81439e-07
72,272,3.01701e-07
73,273,3.42099e-07
74,274,3.18832e-07
75,275,3.4654e-07
76,276,4.17935e-07
77,277,3.95988e-07
78,278,3.62545e-07
79,279,4.03026e-07
80,280,4.02863e-07
81,281,3.50911e-07
82,282,3.81832e-07
83,283,3.85515e-07
84,284,3.71068e-07
85,285,3.75724e-07
86,286,3.94147e-07
87,287,3.63009e-07
88,288,3.48805e-07
89,289,4.11429e-07
90,290,3.58374e-07
91,291,3.75922e-07
92,292,3.25022e-07
93,293,3.51334e-07
94,294,3.80251e-07
95,295,3.33194e-07
96,296,3.35506e-07
97,297,3.53093e-07
98,298,3.15621e-07
99,299,3.26233e-07
100,300,3.96378e-07
101,301,4.01283e-07
102,302,4.13729e-07
103,303,3.22042e-07
104,304,4.71905e-07
105,305,3.92381e-07
106,306,3.75419e-07
107,307,4.01198e-07
108,308,3.4764e-07
109,309,3.67686e-07
110,310,3.30327e-07
111,311,3.78878e-07
112,312,2.55458e-07
113,313,3.60068e-07
114,314,3.87684e-07
115,315,3.27945e-07
116,316,2.52299e-07
117,317,3.92227e-07
118,318,3.44235e-07
119,319,3.47685e-07
120,320,3.78348e-07
121,321,3.03588e-07
122,322,2.54606e-07
123,323,2.27347e-07
124,324,4.05046e-07
125,325,5.02941e-07
126,326,2.30839e-07
127,327,3.04495e-07
128,328,3.18556e-07
129,329,2.37437e-07
130,330,3.70401e-07
131,331,2.81108e-07
132,332,2.01487e-07
133,333,3.78318e-07
134,334,2.97446e-07
135,335,2.46834e-07
136,336,3.9313e-07
137,337,3.87974e-07
138,338,3.11466e-07
139,339,4.99558e-07
140,340,7.76398e-07
141,341,7.28831e-07
142,342,7.30218e-07
143,343,6.73202e-07
144,344,6.67557e-07
145,345,6.30425e-07
146,346,6.80233e-07
147,347,6.65207e-07
148,348,7.01758e-07
149,349,6.50512e-07
150,350,6.15246e-07
151,351,6.26764e-07
152,352,5.8155e-07
153,353,5.67728e-07
154,354,6.05512e-07
155,355,6.46274e-07
156,356,6.1465e-07
157,357,5.95825e-07
158,358,6.52893e-07
159,359,6.38825e-07
160,360,7.37475e-07
161,361,7.20371e-07
162,362,6.906e-07
163,363,6.66383e-07
164,364,6.2003e-07
165,365,5.32502e-07
166,366,5.80133e-07
167,367,5.8547e-07
168,368,5.79626e-07
169,369,5.65697e-07
170,370,5.0339e-07
171,371,5.9431e-07
172,372,5.29779e-07
173,373,5.40111e-07
174,374,5.44684e-07
175,375,5.68935e-07
176,376,5.46461e-07
177,377,5.77819e-07
178,378,5.93719e-07
179,379,6.09635e-07
180,380,5.60513e-07
181,381,5.85384e-07
182,382,6.26199e-07
183,383,6.36906e-07
184,384,7.33908e-07
185,385,9.59884e-07
186,386,1.51193e-06
187,387,1.91613e-06
188,388,2.18217e-06
189,389,2.6397e-06
190,390,3.8792e-06
191,391,7.75481e-06
192,392,2.24475e-05
193,393,8.77254e-05
194,394,0.000456485
195,395,0.00365968
196,396,0.0340282
197,397,0.15766
198,398,0.380148
199,399,0.591598
200,400,0.719775
201,401,0.804017
202,402,0.871488
203,403,0.910328
204,404,0.924017
205,405,0.929781
206,406,0.936681
207,407,0.943275
208,408,0.947983
209,409,0.949613
210,410,0.950075
211,411,0.94805
212,412,0.945419
213,413,0.944463
214,414,0.950281
215,415,0.960472
216,416,0.965629
217,417,0.966261
218,418,0.96567
219,419,0.966255
220,420,0.966041
221,421,0.965897
222,422,0.965401
223,423,0.96841
224,424,0.971067
225,425,0.973112
226,426,0.971482
227,427,0.969134
228,428,0.969761
229,429,0.973729
230,430,0.975827
231,431,0.97612
232,432,0.975356
233,433,0.974995
234,434,0.975297
235,435,0.973198
236,436,0.970837
237,437,0.968972
238,438,0.969208
239,439,0.972369
240,440,0.976766
241,441,0.978666
242,442,0.978317
243,443,0.977719
244,444,0.97725
245,445,0.979395
246,446,0.979963
247,447,0.980054
248,448,0.979121
249,449,0.977633
250,450,0.978147
251,451,0.979797
252,452,0.979703
253,453,0.978604
254,454,0.974509
255,455,0.970604
256,456,0.970258
257,457,0.97383
258,458,0.977627
259,459,0.980341
260,460,0.980646
261,461,0.977518
262,462,0.974678
263,463,0.972791
264,464,0.972216
265,465,0.972281
266,466,0.972449
267,467,0.970847
268,468,0.969586
269,469,0.9682
270,470,0.96897
271,471,0.969736
272,472,0.96979
273,473,0.967922
274,474,0.965092
275,475,0.96318
276,476,0.963289
277,477,0.966727
278,478,0.970985
279,479,0.975076
280,480,0.974902
281,481,0.971856
282,482,0.966999
283,483,0.96421
284,484,0.962951
285,485,0.967028
286,486,0.971789
287,487,0.975592
288,488,0.975248
289,489,0.971086
290,490,0.964283
291,491,0.95765
292,492,0.954824
293,493,0.956766
294,494,0.962904
295,495,0.969758
296,496,0.974269
297,497,0.975214
298,498,0.973124
299,499,0.969821
300,500,0.967099
301,501,0.967565
302,502,0.969552
303,503,0.972526
304,504,0.974482
305,505,0.97443
306,506,0.973148
307,507,0.970951
308,508,0.96963
309,509,0.969462
310,510,0.97034
311,511,0.972465
312,512,0.972539
313,513,0.970784
314,514,0.967844
315,515,0.964104
316,516,0.962104
317,517,0.963367
318,518,0.965351
319,519,0.968611
320,520,0.969462
321,521,0.967375
322,522,0.96075
323,523,0.951692
324,524,0.943064
325,525,0.9367
326,526,0.935722
327,527,0.937723
328,528,0.943855
329,529,0.951675
330,530,0.9584
331,531,0.962669
332,532,0.964638
333,533,0.964653
334,534,0.963423
335,535,0.960179
336,536,0.957492
337,537,0.95456
338,538,0.951631
339,539,0.950212
340,540,0.949305
341,541,0.950558
342,542,0.953105
343,543,0.953792
344,544,0.950723
345,545,0.94113
346,546,0.925968
347,547,0.908633
348,548,0.891873
349,549,0.881423
350,550,0.880317
351,551,0.888211
352,552,0.89852
353,553,0.897214
354,554,0.86807
355,555,0.797497
356,556,0.684358
357,557,0.544254
358,558,0.402962
359,559,0.278381
360,560,0.18317
361,561,0.117242
362,562,0.074363
363,563,0.0476091
364,564,0.0310985
365,565,0.0208981
366,566,0.0145108
367,567,0.0103561
368,568,0.00763552
369,569,0.00575956
370,570,0.00446521
371,571,0.00350047
372,572,0.00276411
373,573,0.00219108
374,574,0.00173741
375,575,0.00137148
376,576,0.00107805
377,577,0.000851021
378,578,0.000669172
