,Wavelength,Throughput
0,200,3.25757e-08
1,201,6.394e-08
2,202,5.73295e-08
3,203,1.31897e-07
4,204,5.2898e-09
5,205,2.94263e-08
6,206,1.58386e-08
7,207,7.44342e-08
8,208,3.94387e-08
9,209,6.03947e-08
10,210,5.31159e-08
11,211,5.29323e-09
12,212,6.29045e-08
13,213,7.30565e-10
14,214,1.5304e-08
15,215,6.04473e-08
16,216,3.87508e-08
17,217,4.96565e-08
18,218,1.55362e-08
19,219,8.94544e-08
20,220,1.99148e-08
21,221,1.01586e-08
22,222,6.0989e-08
23,223,9.77743e-09
24,224,1.94552e-08
25,225,5.13394e-08
26,226,1.98829e-08
27,227,9.7365e-09
28,228,1.84512e-08
29,229,3.40455e-08
30,230,1.30947e-08
31,231,2.91367e-08
32,232,1.5748e-08
33,233,2.44183e-08
34,234,3.75172e-08
35,235,8.3349e-09
36,236,1.78245e-08
37,237,3.15561e-09
38,238,6.97213e-09
39,239,9.7113e-09
40,240,1.67499e-08
41,241,2.81545e-08
42,242,1.91699e-08
43,243,9.03831e-10
44,244,1.77675e-08
45,245,6.97253e-08
46,246,3.76675e-08
47,247,2.81524e-08
48,248,2.4983e-08
49,249,1.64046e-09
50,250,1.08342e-08
51,251,2.59353e-08
52,252,4.40035e-08
53,253,4.42863e-08
54,254,8.70652e-08
55,255,3.77681e-08
56,256,1.02571e-08
57,257,1.67322e-08
58,258,2.733e-08
59,259,6.51711e-08
60,260,2.02979e-08
61,261,9.73299e-09
62,262,2.495e-08
63,263,1.89328e-08
64,264,4.77585e-08
65,265,1.06755e-08
66,266,1.05293e-08
67,267,9.69624e-09
68,268,5.965e-08
69,269,4.6447e-08
70,270,1.10717e-09
71,271,3.45496e-09
72,272,1.52785e-08
73,273,5.72055e-08
74,274,4.99264e-09
75,275,2.65141e-08
76,276,1.52708e-09
77,277,8.54093e-08
78,278,3.29434e-08
79,279,9.68804e-09
80,280,3.90756e-08
81,281,6.96904e-08
82,282,3.24526e-08
83,283,5.81711e-09
84,284,5.48847e-08
85,285,2.60313e-08
86,286,1.37161e-08
87,287,1.44295e-10
88,288,7.44582e-08
89,289,1.57597e-08
90,290,5.88813e-09
91,291,6.05854e-09
92,292,6.71664e-08
93,293,5.50675e-08
94,294,5.27004e-08
95,295,3.02815e-08
96,296,3.70175e-08
97,297,1.21802e-08
98,298,2.57414e-08
99,299,6.45281e-10
100,300,3.32176e-08
101,301,3.42261e-08
102,302,9.71754e-09
103,303,6.29942e-08
104,304,9.61707e-09
105,305,1.68164e-08
106,306,5.38382e-08
107,307,6.28265e-08
108,308,6.42002e-08
109,309,4.82025e-08
110,310,5.02728e-08
111,311,8.03552e-09
112,312,4.23285e-08
113,313,5.49208e-08
114,314,1.22103e-08
115,315,1.88829e-08
116,316,1.30505e-08
117,317,1.29453e-08
118,318,1.80021e-08
119,319,1.53027e-08
120,320,8.21549e-09
121,321,1.49942e-08
122,322,9.43709e-08
123,323,9.28437e-10
124,324,4.13982e-08
125,325,7.66537e-08
126,326,1.12368e-08
127,327,2.02405e-08
128,328,1.07403e-07
129,329,5.16112e-08
130,330,1.29536e-07
131,331,3.71545e-08
132,332,5.55523e-08
133,333,8.12293e-08
134,334,2.76887e-08
135,335,6.18303e-08
136,336,1.88472e-08
137,337,7.53661e-08
138,338,2.81406e-08
139,339,2.91884e-08
140,340,3.39319e-07
141,341,3.41236e-07
142,342,2.76201e-07
143,343,3.46271e-07
144,344,3.04722e-07
145,345,2.53925e-07
146,346,2.55021e-07
147,347,2.4077e-07
148,348,2.61432e-07
149,349,2.76504e-07
150,350,2.53444e-07
151,351,2.29342e-07
152,352,2.19569e-07
153,353,2.70555e-07
154,354,2.49256e-07
155,355,2.95435e-07
156,356,3.09599e-07
157,357,2.762e-07
158,358,2.43953e-07
159,359,2.69928e-07
160,360,2.37751e-07
161,361,2.10427e-07
162,362,1.83536e-07
163,363,1.63921e-07
164,364,2.18602e-07
165,365,1.63061e-07
166,366,1.38868e-07
167,367,1.60299e-07
168,368,1.41327e-07
169,369,1.79571e-07
170,370,1.89029e-07
171,371,1.82391e-07
172,372,1.18833e-07
173,373,1.58453e-07
174,374,1.52339e-07
175,375,1.48073e-07
176,376,1.62288e-07
177,377,1.72075e-07
178,378,1.03686e-07
179,379,1.65705e-07
180,380,1.43649e-07
181,381,1.78162e-07
182,382,1.32451e-07
183,383,1.19768e-07
184,384,1.47885e-07
185,385,1.49129e-07
186,386,1.40246e-07
187,387,1.5883e-07
188,388,1.42099e-07
189,389,1.18096e-07
190,390,1.39279e-07
191,391,1.5343e-07
192,392,1.93784e-07
193,393,1.34041e-07
194,394,1.54063e-07
195,395,1.56272e-07
196,396,1.75069e-07
197,397,1.10243e-07
198,398,1.27174e-07
199,399,1.72996e-07
200,400,2.70157e-07
201,401,2.16497e-07
202,402,2.10945e-07
203,403,1.75596e-07
204,404,1.81205e-07
205,405,1.75795e-07
206,406,2.67118e-07
207,407,3.13831e-07
208,408,3.11424e-07
209,409,3.70988e-07
210,410,6.70238e-07
211,411,2.37455e-06
212,412,6.69195e-06
213,413,1.35103e-05
214,414,2.0221e-05
215,415,1.98507e-05
216,416,1.10882e-05
217,417,3.72488e-06
218,418,1.68342e-06
219,419,1.31849e-06
220,420,1.58989e-06
221,421,2.64566e-06
222,422,5.48921e-06
223,423,1.00898e-05
224,424,1.43006e-05
225,425,1.78303e-05
226,426,1.9253e-05
227,427,1.53616e-05
228,428,7.71923e-06
229,429,2.82692e-06
230,430,1.32458e-06
231,431,8.39722e-07
232,432,6.93059e-07
233,433,6.87925e-07
234,434,7.6842e-07
235,435,9.45579e-07
236,436,1.30447e-06
237,437,1.46523e-06
238,438,1.47258e-06
239,439,1.2308e-06
240,440,1.0547e-06
241,441,1.04364e-06
242,442,1.29687e-06
243,443,1.99747e-06
244,444,5.16371e-06
245,445,1.60153e-05
246,446,2.393e-05
247,447,1.56483e-05
248,448,4.80248e-06
249,449,1.9538e-06
250,450,1.42969e-06
251,451,1.14394e-06
252,452,9.50216e-07
253,453,7.78031e-07
254,454,6.14639e-07
255,455,5.21122e-07
256,456,4.19184e-07
257,457,3.78052e-07
258,458,3.7674e-07
259,459,3.73536e-07
260,460,3.97222e-07
261,461,4.87281e-07
262,462,6.01517e-07
263,463,7.35299e-07
264,464,7.66465e-07
265,465,7.14909e-07
266,466,6.39462e-07
267,467,5.1991e-07
268,468,4.54272e-07
269,469,4.63936e-07
270,470,4.67185e-07
271,471,5.57402e-07
272,472,6.26606e-07
273,473,7.9768e-07
274,474,1.15721e-06
275,475,1.87143e-06
276,476,3.35048e-06
277,477,6.03986e-06
278,478,9.99185e-06
279,479,1.411e-05
280,480,1.63404e-05
281,481,1.59342e-05
282,482,1.40961e-05
283,483,1.15072e-05
284,484,9.31768e-06
285,485,7.58847e-06
286,486,6.28414e-06
287,487,5.50097e-06
288,488,5.04086e-06
289,489,4.85754e-06
290,490,5.07832e-06
291,491,5.6805e-06
292,492,6.78219e-06
293,493,8.44029e-06
294,494,1.02835e-05
295,495,1.15769e-05
296,496,1.17749e-05
297,497,1.077e-05
298,498,9.31769e-06
299,499,7.97165e-06
300,500,6.97215e-06
301,501,6.38732e-06
302,502,6.11096e-06
303,503,6.22834e-06
304,504,6.41152e-06
305,505,7.00135e-06
306,506,7.90635e-06
307,507,9.17216e-06
308,508,1.0791e-05
309,509,1.27876e-05
310,510,1.49115e-05
311,511,1.65477e-05
312,512,1.68746e-05
313,513,1.55633e-05
314,514,1.29817e-05
315,515,1.02994e-05
316,516,8.1037e-06
317,517,6.62862e-06
318,518,5.85394e-06
319,519,5.41501e-06
320,520,5.05111e-06
321,521,4.80258e-06
322,522,4.61256e-06
323,523,4.51462e-06
324,524,4.38995e-06
325,525,4.21906e-06
326,526,3.77513e-06
327,527,3.02004e-06
328,528,2.09815e-06
329,529,1.42536e-06
330,530,1.01208e-06
331,531,6.62799e-07
332,532,4.8445e-07
333,533,3.26608e-07
334,534,2.36913e-07
335,535,1.73678e-07
336,536,1.24848e-07
337,537,9.69191e-08
338,538,1.05689e-07
339,539,1.02323e-07
340,540,1.20012e-07
341,541,1.01471e-07
342,542,9.44992e-08
343,543,8.89411e-08
344,544,1.02659e-07
345,545,9.91548e-08
346,546,9.89066e-08
347,547,1.03141e-07
348,548,9.65136e-08
349,549,1.00718e-07
350,550,9.89621e-08
351,551,9.69765e-08
352,552,8.1008e-08
353,553,8.92893e-08
354,554,8.75451e-08
355,555,1.16414e-07
356,556,7.61899e-08
357,557,9.4353e-08
358,558,7.42146e-08
359,559,8.62474e-08
360,560,8.3792e-08
361,561,8.12375e-08
362,562,7.84072e-08
363,563,6.23492e-08
364,564,6.75216e-08
365,565,5.26294e-08
366,566,7.2468e-08
367,567,8.08326e-08
368,568,8.15515e-08
369,569,8.04785e-08
370,570,6.88891e-08
371,571,9.55929e-08
372,572,8.61884e-08
373,573,1.24723e-07
374,574,1.08669e-07
375,575,1.15826e-07
376,576,1.29033e-07
377,577,1.66235e-07
378,578,1.61142e-07
379,579,2.11494e-07
380,580,2.82228e-07
381,581,2.81253e-07
382,582,3.83269e-07
383,583,4.21148e-07
384,584,5.44636e-07
385,585,6.34431e-07
386,586,8.62466e-07
387,587,1.11306e-06
388,588,1.56058e-06
389,589,2.19407e-06
390,590,3.18176e-06
391,591,4.71195e-06
392,592,6.65782e-06
393,593,9.0836e-06
394,594,1.15851e-05
395,595,1.33857e-05
396,596,1.42258e-05
397,597,1.3714e-05
398,598,1.26723e-05
399,599,1.14109e-05
400,600,1.03827e-05
401,601,9.57308e-06
402,602,9.0471e-06
403,603,8.87185e-06
404,604,8.80585e-06
405,605,8.99263e-06
406,606,9.44976e-06
407,607,1.01534e-05
408,608,1.11411e-05
409,609,1.25564e-05
410,610,1.43527e-05
411,611,1.65813e-05
412,612,1.93011e-05
413,613,2.21776e-05
414,614,2.46751e-05
415,615,2.67459e-05
416,616,2.7501e-05
417,617,2.71388e-05
418,618,2.58837e-05
419,619,2.41779e-05
420,620,2.24896e-05
421,621,2.07911e-05
422,622,1.9646e-05
423,623,1.87136e-05
424,624,1.83447e-05
425,625,1.81694e-05
426,626,1.84824e-05
427,627,1.89347e-05
428,628,1.98567e-05
429,629,2.09431e-05
430,630,2.20971e-05
431,631,2.34819e-05
432,632,2.44863e-05
433,633,2.48652e-05
434,634,2.48171e-05
435,635,2.41073e-05
436,636,2.27346e-05
437,637,2.09599e-05
438,638,1.89881e-05
439,639,1.72177e-05
440,640,1.543e-05
441,641,1.4033e-05
442,642,1.27892e-05
443,643,1.18339e-05
444,644,1.10779e-05
445,645,1.0518e-05
446,646,1.00965e-05
447,647,9.80189e-06
448,648,9.66767e-06
449,649,9.6467e-06
450,650,9.74062e-06
451,651,1.0061e-05
452,652,1.03492e-05
453,653,1.0811e-05
454,654,1.14614e-05
455,655,1.23201e-05
456,656,1.33262e-05
457,657,1.46901e-05
458,658,1.62877e-05
459,659,1.82593e-05
460,660,2.06921e-05
461,661,2.37132e-05
462,662,2.74899e-05
463,663,3.22269e-05
464,664,3.83254e-05
465,665,4.59398e-05
466,666,5.58083e-05
467,667,6.84823e-05
468,668,8.52587e-05
469,669,0.000107117
470,670,0.000136625
471,671,0.000176116
472,672,0.000230729
473,673,0.000306109
474,674,0.00041292
475,675,0.000564569
476,676,0.000785236
477,677,0.0011117
478,678,0.00160457
479,679,0.00235749
480,680,0.00354819
481,681,0.00545771
482,682,0.00855101
483,683,0.0137856
484,684,0.0226139
485,685,0.0378028
486,686,0.0633116
487,687,0.103944
488,688,0.163747
489,689,0.239691
490,690,0.320154
491,691,0.395646
492,692,0.459089
493,693,0.512995
