,Wavelength,Throughput
0,200,3.93704e-08
1,201,3.25273e-07
2,202,2.01378e-07
3,203,4.11896e-08
4,204,5.57251e-08
5,205,7.18482e-08
6,206,1.83953e-07
7,207,1.13618e-07
8,208,1.59532e-07
9,209,8.38525e-08
10,210,1.35598e-07
11,211,6.2683e-08
12,212,1.2028e-07
13,213,9.85913e-08
14,214,1.1218e-07
15,215,1.515e-07
16,216,1.15392e-07
17,217,7.91313e-08
18,218,1.60952e-07
19,219,9.68836e-08
20,220,5.82151e-08
21,221,1.27074e-07
22,222,1.11439e-07
23,223,1.01506e-07
24,224,9.78499e-08
25,225,1.14025e-07
26,226,1.03229e-07
27,227,1.15432e-07
28,228,9.21352e-08
29,229,7.50922e-08
30,230,1.45458e-07
31,231,1.16542e-07
32,232,1.12285e-07
33,233,8.81141e-08
34,234,1.21627e-07
35,235,7.34334e-08
36,236,9.22034e-08
37,237,1.39429e-07
38,238,1.24831e-07
39,239,9.41613e-08
40,240,9.17929e-08
41,241,1.00942e-07
42,242,1.14669e-07
43,243,8.44403e-08
44,244,1.05807e-07
45,245,9.42634e-08
46,246,9.99362e-08
47,247,1.11335e-07
48,248,9.77241e-08
49,249,6.44537e-08
50,250,8.73655e-08
51,251,1.07685e-07
52,252,1.15445e-07
53,253,7.46295e-08
54,254,1.26672e-07
55,255,9.94297e-08
56,256,1.19876e-07
57,257,6.49356e-08
58,258,1.04147e-07
59,259,1.18156e-07
60,260,1.00747e-07
61,261,9.48974e-08
62,262,9.98206e-08
63,263,1.0958e-07
64,264,6.52527e-08
65,265,9.63762e-08
66,266,8.37069e-08
67,267,7.19334e-08
68,268,9.45821e-08
69,269,9.77335e-08
70,270,1.17971e-07
71,271,7.08263e-08
72,272,3.48863e-08
73,273,1.23645e-07
74,274,8.13149e-08
75,275,8.50532e-08
76,276,9.52943e-08
77,277,6.42795e-08
78,278,7.41725e-08
79,279,8.20474e-08
80,280,1.19206e-07
81,281,8.85213e-08
82,282,3.57346e-08
83,283,5.26027e-08
84,284,7.2891e-08
85,285,7.07251e-08
86,286,8.36463e-08
87,287,6.39391e-08
88,288,8.24724e-08
89,289,7.67443e-08
90,290,3.06521e-08
91,291,5.29131e-08
92,292,6.98325e-08
93,293,4.25978e-08
94,294,1.0332e-07
95,295,9.3981e-08
96,296,3.40209e-08
97,297,8.78063e-08
98,298,4.69485e-08
99,299,9.77834e-08
100,300,7.89709e-08
101,301,7.74559e-08
102,302,2.20475e-08
103,303,1.37345e-07
104,304,5.96199e-08
105,305,1.08382e-07
106,306,3.96803e-08
107,307,3.38612e-08
108,308,1.1541e-07
109,309,7.66546e-08
110,310,5.88228e-08
111,311,8.51758e-08
112,312,3.79657e-08
113,313,9.13129e-08
