,Wavelength,Throughput
0,200,2.13147e-07
1,201,2.62348e-07
2,202,1.66295e-07
3,203,2.96054e-07
4,204,1.77541e-07
5,205,2.33114e-07
6,206,1.07329e-07
7,207,2.61035e-07
8,208,1.69922e-07
9,209,2.02083e-07
10,210,1.47961e-07
11,211,2.19378e-07
12,212,2.18048e-07
13,213,1.69582e-07
14,214,2.08757e-07
15,215,1.25014e-07
16,216,1.62847e-07
17,217,2.05492e-07
18,218,1.75517e-07
19,219,1.75119e-07
20,220,2.09029e-07
21,221,1.9343e-07
22,222,2.23568e-07
23,223,1.89363e-07
24,224,2.03733e-07
25,225,1.96819e-07
26,226,2.03525e-07
27,227,2.20569e-07
28,228,1.92616e-07
29,229,2.14318e-07
30,230,2.13001e-07
31,231,2.1259e-07
32,232,1.86518e-07
33,233,2.00727e-07
34,234,1.90524e-07
35,235,1.73782e-07
36,236,1.80309e-07
37,237,1.69917e-07
38,238,1.64002e-07
39,239,1.91536e-07
40,240,1.60852e-07
41,241,1.72433e-07
42,242,1.49787e-07
43,243,1.38184e-07
44,244,1.51924e-07
45,245,1.47826e-07
46,246,1.02327e-07
47,247,1.28928e-07
48,248,1.66595e-07
49,249,9.85339e-08
50,250,1.45703e-07
51,251,1.46578e-07
52,252,1.3699e-07
53,253,1.36326e-07
54,254,1.10364e-07
55,255,1.27788e-07
56,256,7.07881e-08
57,257,1.34093e-07
58,258,1.43965e-07
59,259,1.05255e-07
60,260,1.08634e-07
61,261,1.0496e-07
62,262,1.23095e-07
63,263,1.31659e-07
64,264,1.07841e-07
65,265,1.22046e-07
66,266,1.31793e-07
67,267,1.54593e-07
68,268,1.04844e-07
69,269,1.0919e-07
70,270,1.43745e-07
71,271,1.20873e-07
72,272,1.41464e-07
73,273,1.27339e-07
74,274,1.32737e-07
75,275,1.22933e-07
76,276,1.37021e-07
77,277,1.55238e-07
78,278,1.31626e-07
79,279,1.10373e-07
80,280,1.58936e-07
81,281,1.51993e-07
82,282,2.60819e-07
83,283,5.68813e-07
84,284,2.05814e-06
85,285,1.1215e-05
86,286,4.0113e-05
87,287,8.99614e-05
88,288,0.000122269
89,289,0.000100757
90,290,5.44361e-05
91,291,2.23666e-05
92,292,1.1706e-05
93,293,8.66077e-06
94,294,7.92389e-06
95,295,1.09921e-05
96,296,1.79532e-05
97,297,3.64432e-05
98,298,7.35347e-05
99,299,0.000285585
100,300,0.000629855
101,301,0.000653877
102,302,0.000291992
103,303,3.76195e-05
104,304,9.92993e-06
105,305,4.18037e-06
106,306,1.54607e-06
107,307,6.30901e-07
108,308,3.4572e-07
109,309,2.15358e-07
110,310,2.18816e-07
111,311,2.16241e-07
112,312,3.98377e-07
113,313,4.177e-07
114,314,7.67292e-07
115,315,1.35333e-06
116,316,1.44967e-06
117,317,2.83779e-06
118,318,5.06748e-06
119,319,1.11918e-05
120,320,3.21791e-05
121,321,0.00010689
122,322,0.000401784
123,323,0.00229628
124,324,0.032215
125,325,0.188512
126,326,0.464717
127,327,0.667984
128,328,0.748185
129,329,0.774028
130,330,0.781419
